L,u,v,col
3782.585102384331,5287.0879455204995,-6761.287277690466,darkmagenta
4404.634480139984,-1276.2317433329158,4102.834824695216,darkolivegreen
8834.294119100503,-2592.689909612107,8233.032424898225,darkolivegreen1
8356.003271722318,-2482.640044662931,7809.620544150895,darkolivegreen2
7414.609431312449,-2198.917735424772,6912.7300672398405,darkolivegreen3
5430.901744080703,-1600.492788183592,5063.275958736786,darkolivegreen4
6786.212120336116,10108.963637221552,6272.8841648779,darkorange
6571.281141974235,11340.895877197438,5885.442188709337,darkorange1
6209.064066042822,10781.503125283049,5553.035045120911,darkorange2
5514.628605498972,9529.100271985331,4937.635932877056,darkorange3
4034.7453563658546,6992.831375099401,3610.0475658434816,darkorange4
4593.396782840376,3242.7998420037975,-10687.672628475306,darkorchid
5486.649224474241,3871.239699820776,-12804.955224250612,darkorchid1
5189.107185593949,3644.4078229288502,-12120.6926407055,darkorchid2
4612.482605449884,3275.3224419960825,-10727.886438687452,darkorchid3
3371.6301250292986,2367.2817601642964,-7864.710714259015,darkorchid4
3434.112686867855,11259.81636883651,2427.0732371740983,darkred
6791.425301386427,6430.092977175707,3147.330599402321,darksalmon
6962.736839725198,-2363.5099764775746,3022.5277315826984,darkseagreen
8883.337354147754,-3063.77963137879,3918.053653871878,darkseagreen1
8404.711954963248,-2905.4086163400957,3715.5240307277727,darkseagreen2
7456.878224412078,-2579.8469172896107,3299.1859261652294,darkseagreen3
5460.31436423671,-1894.3454713246256,2422.5460341868356,darkseagreen4
3435.606947747237,-126.1527158691509,-7505.418035644175,darkslateblue
3452.5834778145113,-1799.1723300064868,-387.8147625309951,darkslategray
8834.938646214174,-4629.759635242938,-997.9528384092304,darkslategray1
8359.991766510742,-4378.529691683088,-943.799781874627,darkslategray2
7415.877802301128,-3899.8373725812785,-840.6168099259579,darkslategray3
5430.78752073948,-2857.32076423242,-615.9005200194842,darkslategray4
3452.5834778145113,-1799.1723300064868,-387.8147625309951,darkslategrey
7269.856207831537,-5652.800952727143,-1485.5031993206628,darkturquoise
4383.383171364691,3049.617833362482,-11915.502948347274,darkviolet
5764.290762602556,14089.893963758585,-2117.0807528249547,deeppink
5764.290762602556,14089.893963758585,-2117.0807528249547,deeppink1
5452.426007942099,13347.52442306149,-1990.58575684906,deeppink2
4837.866947955368,11836.794607893557,-1763.1812957325094,deeppink3
3540.0795278574533,8672.638375576858,-1295.1221788602045,deeppink4
7038.222609850568,-4793.995936307084,-6882.480852643872,deepskyblue
7038.222609850568,-4793.995936307084,-6882.480852643872,deepskyblue1
6652.8798620319585,-4527.724503932114,-6536.148490869934,deepskyblue2
5919.967966614208,-4038.9922275471617,-5735.375792870995,deepskyblue3
4323.034055125083,-2942.871077673376,-4241.080409929976,deepskyblue4
4586.453434393569,-1.6548955163763313e-12,-3.3097910327526626e-12,dimgray
4586.453434393569,-1.6548955163763313e-12,-3.3097910327526626e-12,dimgrey
5911.830025705836,-3305.431435653167,-10952.0409469485,dodgerblue
5911.830025705836,-3305.431435653167,-10952.0409469485,dodgerblue1
5584.119435762169,-3115.6834486748803,-10395.353232096964,dodgerblue2
4968.1344291646465,-2782.4628732765796,-9172.876672404702,dodgerblue3
3619.627717756091,-2017.132793097234,-6774.92414796681,dodgerblue4
4283.121807870176,12768.008312680264,2752.1666653010275,firebrick
5710.807088233591,17079.881187317493,3681.598452935967,firebrick1
5398.602609713241,16207.167170596484,3493.4834105314967,firebrick2
4789.956551038034,14371.5731694413,3097.817892677108,firebrick3
3507.998887025906,10504.103228795942,2264.1779396762017,firebrick4
9206.018915661893,341.40294911600506,809.7909377490196,floralwhite
5153.423687351068,-4646.566695590339,5942.169414914521,forestgreen
8299.35919931927,0.0,-5.989190787267257e-12,gainsboro
9150.673845853342,-39.83043048390687,-536.7828607165724,ghostwhite
8246.83164124948,3576.690580075338,8682.106704405482,gold
8246.83164124948,3576.690580075338,8682.106704405482,gold1
7810.383837248746,3358.3402822031635,8226.157219267569,gold2
6926.841484533958,2989.9870025158584,7294.175455028069,gold3
5065.353167527676,2215.4918343326144,5330.441930161267,gold4
6872.850350564586,4679.967482303779,6876.1794871205975,goldenrod
7792.870318826001,5308.018994171258,7801.253752730616,goldenrod1
7370.794004260885,5034.614575382635,7382.619549279406,goldenrod2
6538.658302351935,4470.871916315809,6551.61433111582,goldenrod3
4785.938399151009,3281.809929866898,4789.932907865739,goldenrod4
7379.362405168066,0.0,5.325279732026059e-12,gray
0.0,0.0,0.0,gray0
255.55949550426857,-9.221161172288917e-14,-1.844232234457783e-13,gray1
390.2870215828255,0.0,0.0,gray2
573.8050100690716,-2.0704174849278478e-13,0.0,gray3
688.3064756402442,0.0,-4.967129032153558e-13,gray4
851.9156558721875,-3.073903222610818e-13,0.0,gray5
956.7486335267354,-3.452164175590122e-13,-1.3808656702360488e-12,gray6
1108.9520610690015,0.0,0.0,gray7
1207.5850289354437,4.3572382857794886e-13,0.0,gray8
1351.9433822623218,-4.878115680676029e-13,-9.756231361352057e-13,gray9
1492.5818679941617,-1.0771141913903435e-12,-2.1542283827806875e-12,gray10
1584.5315517939491,0.0,0.0,gray11
1720.04607952456,-1.2412625945878596e-12,-1.2412625945878596e-12,gray12
1808.9280675384496,-1.3054038338067202e-12,-1.3054038338067202e-12,gray13
1940.2683175704624,7.000924320381688e-13,-1.4001848640763376e-12,gray14
2026.6097591482508,0.0,-1.4624927307486802e-12,gray15
2154.4454077342184,-7.773723415134503e-13,-1.5547446830269009e-12,gray16
2238.6280011154786,-8.077473138829233e-13,0.0,gray17
2363.4547531786625,0.0,-1.7055752250151665e-12,gray18
2445.7666662423335,-8.824876013599586e-13,-3.529950405439834e-12,gray19
2567.9651138257873,0.0,0.0,gray20
2688.7349870348007,-9.701560341594086e-13,0.0,gray21
2768.5018261276655,0.0,1.997875406204422e-12,gray22
2887.09575410318,0.0,0.0,gray23
2965.4876173456855,-1.0700146054058422e-12,-2.1400292108116845e-12,gray24
3082.1215308325422,-1.1120987436725473e-12,0.0,gray25
3159.2694066912222,0.0,0.0,gray26
3274.1229319241957,-1.1813771659545265e-12,0.0,gray27
3350.1366046390904,0.0,0.0,gray28
3463.361315399104,-1.24965862935945e-12,-2.4993172587188996e-12,gray29
3575.6721020476048,-1.290182886266002e-12,2.580365772532004e-12,gray30
3650.059387386018,-2.634046982531348e-12,-2.634046982531348e-12,gray31
3760.939788138015,0.0,-2.714063265562794e-12,gray32
3834.408997482993,0.0,-5.5341639012861275e-12,gray33
3943.9618082424136,0.0,-5.6922803700788916e-12,gray34
4016.576991955699,0.0,0.0,gray35
4124.892226186549,0.0,-2.9767077103462568e-12,gray36
4196.70969057568,1.514267210997007e-12,0.0,gray37
4303.86676817519,0.0,0.0,gray38
4374.936366718117,1.578575402820124e-12,0.0,gray39
4481.005835805828,-1.6168476520271801e-12,0.0,gray40
4586.453434393569,-1.6548955163763313e-12,-3.3097910327526626e-12,gray41
4656.4169008270455,0.0,3.360279816108735e-12,gray42
4760.874638075522,1.717830608177256e-12,3.435661216354512e-12,gray43
4830.196431442221,-1.7428434697860617e-12,0.0,gray44
4933.717570577526,0.0,-3.5603924485043594e-12,gray45
5002.431458597577,0.0,0.0,gray46
5105.064233062729,0.0,0.0,gray47
5173.200862032401,0.0,-3.733214360225402e-12,gray48
5274.989138034488,0.0,0.0,gray49
5342.576435647611,-1.9277216951446283e-12,-3.8554433902892566e-12,gray50
5443.560264670144,0.0,-3.928317862151413e-12,gray51
5544.079239344684,0.0,0.0,gray52
5610.839860295479,0.0,-4.049034340250015e-12,gray53
5710.611667331657,-4.1210341625470296e-12,-4.1210341625470296e-12,gray54
5776.885117552283,-2.0844300321393085e-12,0.0,gray55
5875.941889497425,0.0,-4.240343885101667e-12,gray56
5941.748750283441,0.0,0.0,gray57
6040.120173597144,-2.179411158674895e-12,0.0,gray58
6105.479486249232,0.0,0.0,gray59
6203.193063121495,-2.238251523583574e-12,0.0,gray60
6300.524310149575,0.0,-4.546741651620083e-12,gray61
6365.203765628773,0.0,-4.593417255070678e-12,gray62
6461.917179791966,0.0,-4.663210003546834e-12,gray63
6526.192489600994,2.354796978654509e-12,-4.709593957309018e-12,gray64
6622.310880148918,-2.3894786549942795e-12,0.0,gray65
6686.196738014838,0.0,-4.825060217716498e-12,gray66
6781.741416340976,0.0,0.0,gray67
6845.251565310191,-2.4699206665765993e-12,0.0,gray68
6940.2424838889265,-2.5041955256809312e-12,-5.0083910513618624e-12,gray69
7034.91020479637,2.5383537677990068e-12,0.0,gray70
7097.845678128383,0.0,0.0,gray71
7191.989037110697,0.0,-5.190062684203803e-12,gray72
7254.580679386673,0.0,0.0,gray73
7348.216634572715,-2.6514017717317674e-12,0.0,gray74
7410.475417302456,0.0,1.0695464561220272e-11,gray75
7503.619947679303,-2.707474781033807e-12,-1.0829899124135228e-11,gray76
7565.55621712097,2.729822779561703e-12,0.0,gray77
7658.224402667949,-2.7632595443661627e-12,-5.5265190887323255e-12,gray78
7719.847930350704,0.0,0.0,gray79
7812.054023779855,0.0,-5.637529460430397e-12,gray80
7903.989383409792,0.0,5.703874149905324e-12,gray81
7965.131542965105,0.0,-5.747997081559173e-12,gray82
8056.626052435491,0.0,-5.814023633735698e-12,gray83
8117.478498588863,-2.928968747585726e-12,0.0,gray84
8208.544545405637,0.0,-5.923654849430875e-12,gray85
8269.115324472214,-2.9836827236156765e-12,-5.967365447231353e-12,gray86
8359.764672567333,3.016391046477977e-12,0.0,gray87
8420.061430412778,0.0,0.0,gray88
8510.305264783296,0.0,0.0,gray89
8570.33527517212,-3.092369654157311e-12,-6.1847393083146206e-12,gray90
8660.184242416708,-3.1247891816137747e-12,-6.249578363227549e-12,gray91
8749.801189691121,-6.3142499820969856e-12,-6.3142499820969856e-12,gray92
8809.418677993353,-6.357272642416234e-12,-6.357272642416234e-12,gray93
8898.656763683714,-3.2108354288653628e-12,0.0,gray94
8958.024853322378,-3.232256770379941e-12,0.0,gray95
9046.893488864162,0.0,0.0,gray96
9106.018311669892,-3.285656137489118e-12,0.0,gray97
9194.526488554688,-3.317591877638774e-12,-1.3270367510555096e-11,gray98
9253.413905505266,0.0,0.0,gray99
9341.57022199546,-3.370648562648931e-12,0.0,gray100
8344.342843742863,-7971.693188049911,10194.441304816875,green
8344.342843742863,-7971.693188049911,10194.441304816875,green1
7895.500506998035,-7542.895682321801,9646.08214187894,green2
7005.231699397904,-6692.385351912613,8558.423919470872,green3
5129.958762848416,-4900.860150472008,6267.367542694505,green4
8667.620238000665,-4113.352564037815,9836.317596895577,greenyellow
7379.362405168066,0.0,5.325279732026059e-12,grey
0.0,0.0,0.0,grey0
255.55949550426857,-9.221161172288917e-14,-1.844232234457783e-13,grey1
390.2870215828255,0.0,0.0,grey2
573.8050100690716,-2.0704174849278478e-13,0.0,grey3
688.3064756402442,0.0,-4.967129032153558e-13,grey4
851.9156558721875,-3.073903222610818e-13,0.0,grey5
956.7486335267354,-3.452164175590122e-13,-1.3808656702360488e-12,grey6
1108.9520610690015,0.0,0.0,grey7
1207.5850289354437,4.3572382857794886e-13,0.0,grey8
1351.9433822623218,-4.878115680676029e-13,-9.756231361352057e-13,grey9
1492.5818679941617,-1.0771141913903435e-12,-2.1542283827806875e-12,grey10
1584.5315517939491,0.0,0.0,grey11
1720.04607952456,-1.2412625945878596e-12,-1.2412625945878596e-12,grey12
1808.9280675384496,-1.3054038338067202e-12,-1.3054038338067202e-12,grey13
1940.2683175704624,7.000924320381688e-13,-1.4001848640763376e-12,grey14
2026.6097591482508,0.0,-1.4624927307486802e-12,grey15
2154.4454077342184,-7.773723415134503e-13,-1.5547446830269009e-12,grey16
2238.6280011154786,-8.077473138829233e-13,0.0,grey17
2363.4547531786625,0.0,-1.7055752250151665e-12,grey18
2445.7666662423335,-8.824876013599586e-13,-3.529950405439834e-12,grey19
2567.9651138257873,0.0,0.0,grey20
2688.7349870348007,-9.701560341594086e-13,0.0,grey21
2768.5018261276655,0.0,1.997875406204422e-12,grey22
2887.09575410318,0.0,0.0,grey23
2965.4876173456855,-1.0700146054058422e-12,-2.1400292108116845e-12,grey24
3082.1215308325422,-1.1120987436725473e-12,0.0,grey25
3159.2694066912222,0.0,0.0,grey26
3274.1229319241957,-1.1813771659545265e-12,0.0,grey27
3350.1366046390904,0.0,0.0,grey28
3463.361315399104,-1.24965862935945e-12,-2.4993172587188996e-12,grey29
3575.6721020476048,-1.290182886266002e-12,2.580365772532004e-12,grey30
3650.059387386018,-2.634046982531348e-12,-2.634046982531348e-12,grey31
3760.939788138015,0.0,-2.714063265562794e-12,grey32
3834.408997482993,0.0,-5.5341639012861275e-12,grey33
3943.9618082424136,0.0,-5.6922803700788916e-12,grey34
4016.576991955699,0.0,0.0,grey35
4124.892226186549,0.0,-2.9767077103462568e-12,grey36
4196.70969057568,1.514267210997007e-12,0.0,grey37
4303.86676817519,0.0,0.0,grey38
4374.936366718117,1.578575402820124e-12,0.0,grey39
4481.005835805828,-1.6168476520271801e-12,0.0,grey40
4586.453434393569,-1.6548955163763313e-12,-3.3097910327526626e-12,grey41
4656.4169008270455,0.0,3.360279816108735e-12,grey42
4760.874638075522,1.717830608177256e-12,3.435661216354512e-12,grey43
4830.196431442221,-1.7428434697860617e-12,0.0,grey44
4933.717570577526,0.0,-3.5603924485043594e-12,grey45
5002.431458597577,0.0,0.0,grey46
5105.064233062729,0.0,0.0,grey47
5173.200862032401,0.0,-3.733214360225402e-12,grey48
5274.989138034488,0.0,0.0,grey49
5342.576435647611,-1.9277216951446283e-12,-3.8554433902892566e-12,grey50
5443.560264670144,0.0,-3.928317862151413e-12,grey51
5544.079239344684,0.0,0.0,grey52
5610.839860295479,0.0,-4.049034340250015e-12,grey53
5710.611667331657,-4.1210341625470296e-12,-4.1210341625470296e-12,grey54
5776.885117552283,-2.0844300321393085e-12,0.0,grey55
5875.941889497425,0.0,-4.240343885101667e-12,grey56
5941.748750283441,0.0,0.0,grey57
6040.120173597144,-2.179411158674895e-12,0.0,grey58
6105.479486249232,0.0,0.0,grey59
6203.193063121495,-2.238251523583574e-12,0.0,grey60
6300.524310149575,0.0,-4.546741651620083e-12,grey61
6365.203765628773,0.0,-4.593417255070678e-12,grey62
6461.917179791966,0.0,-4.663210003546834e-12,grey63
6526.192489600994,2.354796978654509e-12,-4.709593957309018e-12,grey64
6622.310880148918,-2.3894786549942795e-12,0.0,grey65
6686.196738014838,0.0,-4.825060217716498e-12,grey66
6781.741416340976,0.0,0.0,grey67
6845.251565310191,-2.4699206665765993e-12,0.0,grey68
6940.2424838889265,-2.5041955256809312e-12,-5.0083910513618624e-12,grey69
7034.91020479637,2.5383537677990068e-12,0.0,grey70
7097.845678128383,0.0,0.0,grey71
7191.989037110697,0.0,-5.190062684203803e-12,grey72
7254.580679386673,0.0,0.0,grey73
7348.216634572715,-2.6514017717317674e-12,0.0,grey74
7410.475417302456,0.0,1.0695464561220272e-11,grey75
7503.619947679303,-2.707474781033807e-12,-1.0829899124135228e-11,grey76
7565.55621712097,2.729822779561703e-12,0.0,grey77
7658.224402667949,-2.7632595443661627e-12,-5.5265190887323255e-12,grey78
7719.847930350704,0.0,0.0,grey79
7812.054023779855,0.0,-5.637529460430397e-12,grey80
7903.989383409792,0.0,5.703874149905324e-12,grey81
7965.131542965105,0.0,-5.747997081559173e-12,grey82
8056.626052435491,0.0,-5.814023633735698e-12,grey83
8117.478498588863,-2.928968747585726e-12,0.0,grey84
8208.544545405637,0.0,-5.923654849430875e-12,grey85
8269.115324472214,-2.9836827236156765e-12,-5.967365447231353e-12,grey86
8359.764672567333,3.016391046477977e-12,0.0,grey87
8420.061430412778,0.0,0.0,grey88
8510.305264783296,0.0,0.0,grey89
8570.33527517212,-3.092369654157311e-12,-6.1847393083146206e-12,grey90
8660.184242416708,-3.1247891816137747e-12,-6.249578363227549e-12,grey91
8749.801189691121,-6.3142499820969856e-12,-6.3142499820969856e-12,grey92
8809.418677993353,-6.357272642416234e-12,-6.357272642416234e-12,grey93
8898.656763683714,-3.2108354288653628e-12,0.0,grey94
8958.024853322378,-3.232256770379941e-12,0.0,grey95
9046.893488864162,0.0,0.0,grey96
9106.018311669892,-3.285656137489118e-12,0.0,grey97
9194.526488554688,-3.317591877638774e-12,-1.3270367510555096e-11,grey98
9253.413905505266,0.0,0.0,grey99
9341.57022199546,-3.370648562648931e-12,0.0,grey100
9218.83790054743,-749.4372808948021,958.402963021275,honeydew
9218.83790054743,-749.4372808948021,958.402963021275,honeydew1
8723.048220049428,-709.1214273568188,906.8458354636545,honeydew2
7740.14851913811,-626.0846050850647,800.6558466094687,honeydew3
5669.824422421291,-450.7618381686379,576.4478126867845,honeydew4
6456.732237009058,9730.591189975434,-2743.9437904973975,hotpink
6521.388344115486,9460.072182381198,-2525.3527832751815,hotpink1
6213.172790338888,8796.608362594228,-2154.6282743839965,hotpink2
5581.186863012649,7515.741678487981,-1697.0716538007275,hotpink3
3978.956059977579,5937.677831190338,-1638.272771987709,hotpink4
5413.480043503999,9392.2318531882,2024.5121076128728,indianred
6320.384382249699,12051.005547154464,2597.6154571655297,indianred1
5981.229053280447,11395.277086448354,2456.2720332853823,indianred2
5302.2451388587915,10138.1291812908,2185.291589570319,indianred3
3888.068878364618,7379.01150141852,1590.558917235997,indianred4
9311.099424362408,83.00830537505841,1118.6782337304835,ivory
9311.099424362408,83.00830537505841,1118.6782337304835,ivory1
8810.355183243617,78.54298515739,1058.500441742412,ivory2
7817.260087283625,69.35184543210747,934.6341863431056,ivory3
5725.4093170967835,49.94622427091823,673.110403789584,ivory4
8522.176785289328,1098.3478364979376,6005.062005326371,khaki
8975.329340457074,1076.6708312481471,6659.361663036339,khaki1
8500.881575917405,995.444802600936,6341.853063440436,khaki2
7540.505476017473,888.3987636207978,5599.671752371497,khaki3
5516.145702517744,668.2347108724947,4086.339512436789,khaki4
8645.823039210416,-116.930394899887,-1575.8361412750523,lavender
9008.146766814923,827.4927283656191,-193.83393659167456,lavenderblush
9008.146766814923,827.4927283656191,-193.83393659167456,lavenderblush1
8524.397610835471,780.5272781571186,-209.22668325940356,lavenderblush2
7564.084454394428,691.1915810475632,-161.9537827172304,lavenderblush3
5543.793797645682,494.68348746307566,-145.3857312681014,lavenderblush4
8414.64932715811,-6049.336006421855,10038.366946946073,lawngreen
9142.69163111642,541.0974925581577,3279.9934279702406,lemonchiffon
9142.69163111642,541.0974925581577,3279.9934279702406,lemonchiffon1
8643.260451502732,532.6481124310831,3107.104464411766,lemonchiffon2
7676.4820008152765,452.0086670061541,2741.0765009016277,lemonchiffon3
5639.263128728481,285.6199771352012,2043.098755078038,lemonchiffon4
7962.107151694782,-2260.1005362306046,-1636.781220141393,lightblue
8633.781692047618,-2470.166589527194,-1821.119620644143,lightblue1
8166.566469008939,-2346.3146965114106,-1730.9230486540357,lightblue2
7247.459101759034,-2046.7943301054297,-1534.145825337372,lightblue3
5325.794976225905,-1558.5942154148538,-1061.8928391898537,lightblue4
6489.767950127562,8594.578521028117,1852.576527882942,lightcoral
9158.834670159757,-1629.6797694971997,-351.28034278230723,lightcyan
9158.834670159757,-1629.6797694971997,-351.28034278230723,lightcyan1
8665.897241073619,-1545.3551449430447,-333.10402153637824,lightcyan2
7688.822138589488,-1372.1746943479925,-295.7746705884974,lightcyan3
5630.683860086368,-1007.5230536518584,-217.1733675979152,lightcyan4
8301.771063818947,1586.735299347399,6077.586848696996,lightgoldenrod
8756.563904771221,1729.027522670357,6401.546852275928,lightgoldenrod1
8280.099862362256,1652.149485425448,6032.01564648539,lightgoldenrod2
7357.85141315607,1431.696649927558,5374.195854855595,lightgoldenrod3
5392.6282314473365,1035.609782678508,3940.817119519962,lightgoldenrod4
9118.409427856328,215.0335903963822,2897.943717926056,lightgoldenrodyellow
8026.156824709292,0.0,0.0,lightgray
8201.253561133111,-4555.530953804396,5825.750166909792,lightgreen
8026.156824709292,0.0,0.0,lightgrey
7739.45574816092,4727.767480781579,239.09983895477112,lightpink
7572.30648512941,5369.775911564058,388.4533195267171,lightpink1
7158.075630193182,5101.262637005433,319.5476066304448,lightpink2
6359.808063613546,4494.731771278442,311.4413264899602,lightpink3
4658.521263995273,3285.9518215498897,235.08015622165183,lightpink4
7208.937982072857,7412.33269780605,3856.0250438776056,lightsalmon
7208.937982072857,7412.33269780605,3856.0250438776056,lightsalmon1
6815.074617857793,7038.233678460763,3626.226293375796,lightsalmon2
6058.793437142669,6192.2762578770935,3258.4437674694263,lightsalmon3
4426.1421581607765,4582.84839141308,2390.2542050001953,lightsalmon4
6448.421445638108,-5026.380983502654,-358.7741283237088,lightseagreen
7616.793131364092,-3340.974456533555,-4525.708434422893,lightskyblue
8268.860479777406,-2572.313556173774,-2946.8986815454255,lightskyblue1
7824.316800008616,-2448.0207219290824,-2786.2440471270584,lightskyblue2
6946.83456185648,-2194.280240547672,-2454.774981664506,lightskyblue3
5079.060643881427,-1569.2755177037654,-1826.9172257362084,lightskyblue4
5592.117099402017,-211.4930964806066,-12213.49822585708,lightslateblue
5576.505729397867,-1063.597285953766,-1747.7930086925055,lightslategray
5576.505729397867,-1063.597285953766,-1747.7930086925055,lightslategrey
7504.770103620159,-1208.7617742497048,-2411.8122161999822,lightsteelblue
8382.459157485468,-1352.655738581468,-2707.117837297051,lightsteelblue1
7928.532980857546,-1306.059880778,-2568.459775260388,lightsteelblue2
7037.654930410995,-1160.8086780096482,-2268.938869479421,lightsteelblue3
5161.520993749564,-855.1233006353822,-1636.726715304832,lightsteelblue4
9281.216669826892,168.2409373867683,2267.333055729846,lightyellow
9281.216669826892,168.2409373867683,2267.333055729846,lightyellow1
8781.956586652397,159.54250282337034,2150.1068412006534,lightyellow2
7791.898865079053,141.66586855108616,1909.1887600230664,lightyellow3
5706.424306135782,104.02483324444135,1401.9117266904584,lightyellow4
7036.998999453705,-6347.766725392701,8117.7152421888095,limegreen
8943.407103394564,637.228437470101,874.2842056207039,linen
6155.342453488403,8603.596748127435,-11002.538606300086,magenta
6155.342453488403,8603.596748127435,-11002.538606300086,magenta1
5824.021140541363,8140.4941681822675,-10410.309081405996,magenta2
5166.8526738831815,7221.9404848680415,-9235.634970276416,magenta3
3782.585102384331,5287.0879455204995,-6761.287277690466,magenta4
4442.719634321707,9774.978847678209,-546.4707783290144,maroon
5967.357980546856,11886.218272698248,-4351.704244985802,maroon1
5642.964998804479,11262.923399628036,-4122.376335784087,maroon2
5004.771599754325,9992.23735659794,-3677.764971434609,maroon3
3666.411319503869,7288.358354171426,-2722.2464307281307,maroon4
7277.338953434126,-4653.237071830474,1911.171647609985,mediumaquamarine
3252.198055795396,-974.486308970367,-13132.862042995324,mediumblue
